date,close,btc_vol_30d,drawdown,macro_pressure,risk_regime,vix,us10y
2025-12-02,78557.890625,51.044859470226456,-1.9928837735532434,34.06220843078435,LOW,16.59000015258789,4.085999965667725
2025-12-03,80168.3828125,50.69279321802856,-1.9928837735532434,27.390660493077363,LOW,16.079999923706055,4.057000160217285
2025-12-04,79136.6640625,48.7770714513323,-1.9928837735532434,32.94235013250696,LOW,15.779999732971191,4.107999801635742
2025-12-05,76757.3515625,48.762162910008,-1.9928837735532434,35.87035982799532,LOW,15.40999984741211,4.138999938964844
2025-12-06,76668.09375,47.97885377784187,-1.9928837735532434,26.463412088964933,LOW,15.40999984741211,4.138999938964844
2025-12-07,77663.1484375,47.679821544954514,-1.9928837735532434,27.658072909405472,LOW,15.40999984741211,4.138999938964844
2025-12-08,77869.0,47.68647768026906,-1.9928837735532434,37.41742329520414,LOW,16.65999984741211,4.171999931335449
2025-12-09,79714.21875,47.49872120900262,-1.9928837735532434,33.51635445239172,LOW,16.93000030517578,4.185999870300293
2025-12-10,78640.2734375,47.294773702918484,-1.9928837735532434,24.902989938497306,LOW,15.770000457763672,4.164000034332275
2025-12-11,78794.3125,46.40481906939796,-1.9928837735532434,20.32525670155402,LOW,14.850000381469727,4.140999794006348
2025-12-12,76868.4140625,46.852816275100466,-1.9928837735532434,28.389718265615038,LOW,15.739999771118164,4.193999767303467
2025-12-13,76935.0390625,46.400600292834284,-1.9928837735532434,24.183923991718192,LOW,15.739999771118164,4.193999767303467
2025-12-14,75125.25,43.51874842835742,-1.9928837735532434,22.27949355548693,LOW,15.739999771118164,4.193999767303467
2025-12-15,73526.3828125,43.67180679169473,-1.9928837735532434,25.143573764537624,LOW,16.5,4.182000160217285
2025-12-16,74765.6875,44.07023765501201,-1.9928837735532434,23.7333619427063,LOW,16.479999542236328,4.14900016784668
2025-12-17,73366.3125,44.00608741355576,-1.9928837735532434,20.339626137836156,LOW,17.6200008392334,4.151000022888184
2025-12-18,72890.375,43.79146535617268,-1.9928837735532434,13.571760830924685,LOW,16.8700008392334,4.116000175476074
2025-12-19,75221.6953125,45.29491395996516,-1.0524880869008058,12.644924451624878,LOW,14.90999984741211,4.151000022888184
2025-12-20,75433.5859375,41.412681261078966,-0.9670167646102991,16.157140101011528,LOW,14.90999984741211,4.151000022888184
2025-12-21,75677.8359375,40.9846966233038,-0.8684924883736425,27.710125910540395,LOW,14.90999984741211,4.151000022888184
2025-12-22,75223.5078125,40.99414686411592,-0.8684924883736425,27.375131668361348,LOW,14.079999923706055,4.169000148773193
2025-12-23,74112.296875,40.27947298436421,-0.8684924883736425,34.71042561365425,LOW,14.0,4.169000148773193
2025-12-24,74408.3125,39.894882387049236,-0.8684924883736425,16.32081143433685,LOW,13.470000267028809,4.136000156402588
